,,,Length of Life,,Quality of Life,,Health Behaviors,,Clinical Care,,Social & Economic Factors,,Physical Environment,,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,Z-Score,Rank,
47131,Tennessee,Obion,-0.36,22,0.29,76,0.04,60,0.02,48,0.26,82,0.03,74,
47133,Tennessee,Overton,0.05,53,-0.15,34,0.04,59,0.07,71,0.06,59,-0.03,17,
47135,Tennessee,Perry,0.87,92,0.00,49,0.03,57,0.22,92,0.17,75,-0.02,32,
47137,Tennessee,Pickett,-0.80,6,-0.17,29,-0.14,12,0.13,87,-0.06,39,-0.04,15,
47139,Tennessee,Polk,0.30,75,0.04,53,0.00,49,0.03,54,-0.01,45,-0.03,28,
47141,Tennessee,Putnam,-0.24,26,-0.25,23,-0.11,21,-0.06,26,-0.08,35,0.07,88,
47143,Tennessee,Rhea,0.26,73,0.17,68,0.06,67,0.06,66,0.37,89,-0.07,4,
47145,Tennessee,Roane,0.21,68,0.04,51,-0.08,30,-0.10,15,-0.09,32,0.07,89,
47147,Tennessee,Robertson,-0.47,17,-0.58,6,-0.17,7,-0.04,33,-0.35,6,0.03,69,
47149,Tennessee,Rutherford,-0.91,2,-0.69,4,-0.10,26,-0.13,12,-0.51,3,0.11,95,
47151,Tennessee,Scott,0.75,87,0.37,81,0.13,81,0.07,70,0.23,80,0.00,45,
47153,Tennessee,Sequatchie,-0.45,18,0.15,66,-0.14,13,-0.01,42,0.19,77,-0.02,38,
47155,Tennessee,Sevier,-0.30,24,-0.13,37,0.06,68,0.09,77,-0.12,28,-0.04,12,
47157,Tennessee,Shelby,-0.09,40,0.20,73,-0.01,48,-0.04,34,0.37,90,0.01,56,
47159,Tennessee,Smith,-0.40,20,0.03,50,-0.11,20,0.01,45,-0.13,26,-0.01,41,
47161,Tennessee,Stewart,-0.09,39,-0.44,10,-0.04,36,0.10,80,0.02,50,0.06,85,
47163,Tennessee,Sullivan,-0.21,28,-0.25,21,-0.14,14,-0.22,6,-0.13,24,-0.02,31,
47165,Tennessee,Sumner,-0.83,4,-0.61,5,-0.17,6,-0.09,18,-0.50,4,0.01,62,
47167,Tennessee,Tipton,-0.10,37,-0.20,26,-0.02,45,-0.01,41,-0.11,29,0.01,54,
47169,Tennessee,Trousdale,-0.08,41,0.00,47,-0.09,27,0.24,93,-0.19,17,-0.03,27,
47171,Tennessee,Unicoi,0.07,55,0.34,77,0.00,50,0.03,51,0.18,76,-0.12,2,
47173,Tennessee,Union,0.36,78,0.39,83,0.12,80,0.04,57,0.22,79,0.02,63,
47175,Tennessee,Van Buren,0.49,83,-0.08,38,-0.04,38,0.12,85,0.06,60,-0.03,20,
47177,Tennessee,Warren,-0.05,42,0.15,64,0.05,63,0.07,72,0.04,55,-0.07,5,
47179,Tennessee,Washington,-0.35,23,-0.31,17,-0.21,4,-0.29,3,-0.26,12,0.03,75,
47181,Tennessee,Wayne,-0.38,21,0.09,58,0.16,88,0.10,79,0.15,72,0.01,52,
47183,Tennessee,Weakley,-0.18,33,-0.19,27,-0.03,39,-0.07,24,0.00,48,0.00,48,
47185,Tennessee,White,0.08,57,-0.15,33,-0.10,22,-0.04,35,-0.09,33,-0.03,19,
47187,Tennessee,Williamson,-1.70,1,-1.46,1,-0.68,1,-0.48,1,-0.85,1,-0.01,43,
47189,Tennessee,Wilson,-0.88,3,-0.81,2,-0.11,17,-0.16,10,-0.56,2,0.04,77,
